Tipo, Velocidad, Posición, Tiempo, Colisión
Pelota,8.38,Izquierda,4.07,False
Pelota,8.91,Derecha,6.08,True
Pelota,8.77,Derecha,8.08,False
Pelota,7.43,Derecha,10.08,False
Pelota,8.53,Derecha,12.09,False
Pelota,7.16,Izquierda,14.09,False
Pelota,8.06,Derecha,16.10,False
Pelota,7.38,Derecha,18.11,False
Pelota,8.64,Derecha,20.11,False
Pelota,7.22,Izquierda,22.12,False
Punto Extra,7.30,Derecha,24.12,True
Pelota,8.29,Izquierda,26.12,False
Pelota,7.75,Derecha,28.13,True
Pelota,10.36,Derecha,30.14,True
Punto Extra,10.73,Derecha,31.64,False
Pelota,10.92,Derecha,33.14,True
Punto Extra,9.89,Derecha,34.66,True
Punto Extra,10.46,Izquierda,36.16,False
Pelota,10.91,Derecha,37.67,True
Pelota,10.58,Izquierda,39.17,False
Punto Extra,10.24,Derecha,40.68,True
Pelota,8.91,Derecha,42.19,False
Punto Extra,9.02,Derecha,43.69,True
Pelota,9.53,Derecha,45.20,True
Punto Extra,10.80,Derecha,46.70,True
Punto Extra,8.82,Derecha,48.21,True
Punto Extra,9.67,Derecha,49.71,True
Pelota,8.66,Izquierda,51.22,False
Pelota,11.00,Derecha,52.72,False
Pelota,9.10,Izquierda,54.22,False
Pelota,8.54,Izquierda,55.73,False
Pelota,10.11,Izquierda,57.23,False
Pelota,9.55,Derecha,58.73,False
 
PELOTAS RECIBIDAS: , 24,72.73%
, Aciertos: , 18, Derecha: , 9, Izquierda: ,9
, , 75.00% , , 50.00%, ,50.00%
, Errores: , 6, Derecha: , 6, Izquierda: ,0
, , 25.00% , , 100.00%, ,0.00%
 
PUNTOS EXTRAS RECIBIDOS: , 9,27.27%
, Obtenidos: , 7, Derecha: , 7
, , 77.78% , , 100.00%, ,0.00%
, Esquivados: , 2, Derecha: , 1, Izquierda: ,1
, , 22.22% , , 50.00%, ,50.00%
 
PUNTOS FINALES:, 4
 
OWO: ,True
